Page,Product Name,Current Price,Original Price,Discount,Rating Score,Ratings Count,Reviews Count,Highlights
35,"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...","₹33,990","₹45,990",26% off,4.3,28925,2208,"1200 RPM Max Speed | 5 Star Rating | With In-Built Heater | With Wi-Fi Connectivity | 4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support"
35,"Acer 6.5 kg Halo Wash Series with Glass Lid, 5 Star Rating, AiSense, AutoBalance, Hex-Fin Jet Pulsator...","₹13,398","₹28,999",53% off,3.5,10,2,700 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor
35,Haier 7.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Silver,"₹33,000",N/A,N/A,5,3,1,0 RPM Max Speed | With In-Built Heater | 2 Years Warranty on Product
35,"Panasonic 10 kg Semi Automatic Top Load Washing Machine White, Grey","₹18,390","₹25,000",26% off,3.9,9,0,750 RPM Max Speed | 5 Star Rating | 2 YEAR
35,"Voltas Beko 8 kg Semi Automatic Top Load Washing Machine Blue, White","₹11,240","₹18,899",40% off,4.3,48,2,1300 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 5 Years Additional Warranty on Motor
35,"IFB 9 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...","₹36,490","₹48,990",25% off,4.3,28925,2208,"1400 rpm Max Speed | 5 Star Rating | With In-Built Heater | With Wi-Fi Connectivity | 4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support"
35,Whirlpool 10 kg Bloomwash Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹24,990","₹31,200",19% off,4.1,46397,2890,740 rpm Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive Warranty on Product and 10 Years Additional Warranty on Motor & Prime Mover
35,"Lloyd by Havells 7 kg with 16 Wash Programs, 90� C Self Cleaning & high-Speed Spinning Fully Automatic...","₹26,609","₹39,490",32% off,4.1,107,17,1200 rpm Max Speed | With In-Built Heater | 2 Years Comprehensive on Washing Machine and 10 Years on Motor from Lloyd
35,"Power Guard 8.5 kg Washer only Red, White","₹5,999","₹10,999",45% off,3.7,13,0,1350 RPM Max Speed | 5 Star Rating | 2 years on product and 10 Years on motor
36,Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey,"₹14,490","₹19,550",25% off,4.1,46397,2890,740 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor
36,"Samsung 9 kg 5 star, Ecobubble, Wi-Fi, Digital Inverter, Fully Automatic Top Load Washing Machine Grey","₹23,490","₹30,500",22% off,4.3,104648,6680,"700 rpm Max Speed | 5 Star Rating | 2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
36,Panasonic 12 kg Semi Automatic Top Load Washing Machine Multicolor,"₹19,790","₹26,500",25% off,4.4,23,1,"750 RPM Max Speed | 5 Star Rating | 1 YEAR WARRANTY , 5 YEAR MOTOR"
36,BOSCH 6 kg Fully Automatic Front Load Washing Machine with In-built Heater White,"₹29,636","₹33,990",12% off,4,8,1,1000 RPM Max Speed | 5 Star Rating | With In-Built Heater | 2 Years
36,IFB 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,"₹40,230","₹47,990",16% off,N/A,N/A,N/A,"1200 rpm Max Speed | 5 Star Rating | With In-Built Heater | 4 Years Warranty on Product, 10 Years on Motor and 10 Warranty Years on Spare Part Support"
36,"IFB 6.5 kg Fully Automatic Top Load Washing Machine Grey, Black","₹16,903","₹23,610",28% off,6.5,N/A,N/A,"720 rpm Max Speed | 5 Star Rating | 4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support"
