Page,Product Name,Current Price,Original Price,Discount,Rating Score,Ratings Count,Reviews Count,Highlights,Product URL
2,Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey,"₹14,490","₹19,550",25% off,4.1,46663.0,2900.0,740 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor,https://www.flipkart.com/whirlpool-7-kg-magic-clean-5-star-fully-automatic-top-load-washing-machine-grey/p/itm50fdb8ca1e478
2,Thomson 7 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Blue,"₹7,490","₹10,499",28% off,4.1,29244.0,2462.0,1400 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor,https://www.flipkart.com/thomson-7-kg-5-star-aqua-magic-semi-automatic-top-load-washing-machine-blue/p/itmdb64fb93d499e
2,"Thomson 8 kg 5 Star Aqua Magic Grande Series with Floral Toughened Glass and Double Waterfall Semi Automatic Top Load Washing Machine Black, Grey(TSG8000)","₹8,999","₹12,999",30% off,4.1,29244.0,2462.0,1400 RPM Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor,https://www.flipkart.com/thomson-8-kg-5-star-aqua-magic-grande-series-floral-toughened-glass-double-waterfall-semi-automatic-top-load-washing-machine-black-grey/p/itm19805c9b3ce40
2,Whirlpool 8 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹17,990","₹23,700",24% off,4.1,46663.0,2900.0,740 rpm Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive Warranty on Product and 10 Years Additional Warranty on Motor,https://www.flipkart.com/whirlpool-8-kg-fully-automatic-top-load-washing-machine-in-built-heater-grey/p/itm9fe0dcaaaf7bf
2,"MarQ by Flipkart 7 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine Blue, White","₹7,390","₹13,990",47% off,4.3,62170.0,6114.0,1350 rpm Max Speed | 5 Star Rating | 2 Years Warranty on Product and 05 Years Special Warranty on Wash Motor,https://www.flipkart.com/marq-flipkart-7-kg-5-star-rating-innowash-range-semi-automatic-top-load-washing-machine-blue-white/p/itm461e5e0bd2125
2,"Godrej 7 kg Zero Pressure Technology Fills Tub 60% Faster, Fabrisafe Steel Drum Fully Automatic Top Load Washing Machine Grey, Black(WTEON ALP 70 5.0 FDUN GPGR)","₹13,990","₹27,300",48% off,4.2,9874.0,682.0,720 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,https://www.flipkart.com/godrej-7-kg-zero-pressure-technology-fills-tub-60-faster-fabrisafe-steel-drum-fully-automatic-top-load-washing-machine-grey-black/p/itm98364367d4e69
2,BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,"₹38,900","₹59,990",35% off,4.3,12950.0,949.0,1200 rpm Max Speed | 5 Star Rating | With In-Built Heater | 2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,https://www.flipkart.com/bosch-9-kg-fully-automatic-front-load-washing-machine-in-built-heater-grey/p/itm1352ff7fc3507
2,Voltas Beko by A Tata Product 8.5 kg 5 Star Semi Automatic Top Load Washing Machine Multicolor,"₹11,090","₹23,490",52% off,4.3,5518.0,362.0,1400 rpm Max Speed | 5 Star Rating | 1 Year on Product & 5 Year on Motor,https://www.flipkart.com/voltas-beko-tata-product-8-5-kg-5-star-semi-automatic-top-load-washing-machine-multicolor/p/itme5a8f26671a00
2,"Voltas Beko by A Tata Product 12 kg A Tata Product Anti-allergen Hygiene Boost Washing Machine with Fast Dry and Water Proof IPX4 Panel Semi Automatic Top Load Maroon, White(WTT120ABRT/HB)","₹13,250","₹20,990",36% off,4.3,22287.0,1461.0,"1350 rpm Max Speed | 5 Star Rating | 2 Years Comprehensive Warranty on Product, 5 Years Spin Motor Warranty and 10 Years Wash Motor Warranty",https://www.flipkart.com/voltas-beko-tata-product-12-kg-anti-allergen-hygiene-boost-washing-machine-fast-dry-water-proof-ipx4-panel-semi-automatic-top-load-maroon-white/p/itm1ad007c02e5aa
2,"Samsung 9 kg 5 Star, AI Ecobubble, Super Speed, Wi-Fi, Hygiene Steam, Digital Inverter Motor Fully Automatic Front Load Washing Machine with In-built Heater Grey(WW90DG5U24AXTL)","₹37,990","₹50,990",25% off,4.3,25237.0,1743.0,"1400 rpm Max Speed | 5 Star Rating | With In-Built Heater | With Wi-Fi Connectivity | 2 Years Comprehensive Warranty on Product, 20 Years warranty on Digital Inverter Motor.",https://www.flipkart.com/samsung-9-kg-5-star-ai-ecobubble-super-speed-wi-fi-hygiene-steam-digital-inverter-motor-fully-automatic-front-load-washing-machine-in-built-heater-grey/p/itm6c8a617aef39c
